V1	Group
16321	WT_specific
7835	WT_specific
15803	WT_specific
25525	WT_specific
3983	WT_specific
0	WT_specific
4240	WT_specific
5867	WT_specific
836	WT_specific
174	WT_specific
0	WT_specific
899	WT_specific
6076	WT_specific
8437	WT_specific
15966	WT_specific
21194	WT_specific
23647	WT_specific
37096	WT_specific
13735	WT_specific
40615	WT_specific
70430	WT_specific
74157	WT_specific
110918	WT_specific
127558	WT_specific
125882	WT_specific
119452	WT_specific
60638	WT_specific
1594	WT_specific
9845	WT_specific
13609	WT_specific
0	WT_specific
11493	WT_specific
16711	WT_specific
1601	WT_specific
3465	WT_specific
12900	WT_specific
6368	WT_specific
4050	WT_specific
2431	WT_specific
19358	WT_specific
42	WT_specific
2043	WT_specific
4129	WT_specific
607	WT_specific
8941	WT_specific
2540	WT_specific
7852	WT_specific
29877	WT_specific
55812	WT_specific
61805	WT_specific
14167	WT_specific
11099	WT_specific
1307	WT_specific
18391	WT_specific
13214	WT_specific
10756	WT_specific
793	WT_specific
0	WT_specific
12326	WT_specific
0	WT_specific
2002	WT_specific
8543	WT_specific
0	WT_specific
6974	WT_specific
16089	WT_specific
20182	WT_specific
29187	WT_specific
42329	WT_specific
44640	WT_specific
28926	WT_specific
0	WT_specific
0	WT_specific
24650	WT_specific
10507	WT_specific
28064	WT_specific
0	WT_specific
0	WT_specific
0	WT_specific
0	WT_specific
10989	WT_specific
10012	WT_specific
0	WT_specific
3785	WT_specific
4436	WT_specific
3753	WT_specific
8530	WT_specific
14541	WT_specific
7400	WT_specific
25405	WT_specific
15802	WT_specific
3292	WT_specific
0	WT_specific
0	WT_specific
20153	WT_specific
23616	WT_specific
48979	WT_specific
6003	WT_specific
8975	WT_specific
0	WT_specific
40363	WT_specific
5839	WT_specific
904	WT_specific
6801	WT_specific
24454	WT_specific
25392	WT_specific
18463	WT_specific
24566	WT_specific
34653	WT_specific
38983	WT_specific
35527	WT_specific
24762	WT_specific
7413	WT_specific
0	WT_specific
1538	WT_specific
13701	WT_specific
7755	WT_specific
3458	WT_specific
0	WT_specific
46355	WT_specific
46379	WT_specific
845	WT_specific
89173	WT_specific
152211	WT_specific
228058	WT_specific
241991	WT_specific
83963	WT_specific
33211	WT_specific
0	WT_specific
114878	WT_specific
61410	WT_specific
60344	WT_specific
75161	WT_specific
7267	WT_specific
13926	WT_specific
4485	WT_specific
53655	WT_specific
